question,answers,id
what did hans oersted discovered in 1819?,"[""Aluminium""]",574
what is the very first harry potter book?,"[""Harry Potter and the Philosopher's Stone""]",575
what kourtney kardashian name her daughter?,"[""Penelope Scotland Disick""]",576
when did the lions last win a thanksgiving game?,"[""Tombo""]",577
what kind of government does chile have today?,"[""Presidential system"", ""Republic"", ""Unitary state""]",578
where did richard arkwright die?,"[""Cromford""]",579
who played luke skywalker in star wars episode 4?,"[""Mark Hamill""]",580
what movies has taylor lautner?,"[""New Moon"", ""He's a Bully, Charlie Brown"", ""Eclipse"", ""Cheaper by the Dozen 2"", ""Incarceron"", ""The Adventures of Sharkboy and Lavagirl"", ""Dear Eleanor"", ""Abduction"", ""Shadow Fury"", ""Field of Dreams 2: Lockout""]",581
where does sam bradford play?,"[""St. Louis Rams""]",582
where did vietnam originate?,"[""Asia""]",583
what was the first newspaper called in australia?,"[""Sydney Gazette""]",584
where was hackney 2012 held?,"[""London""]",585
where does the st louis rams play football?,"[""Edward Jones Dome""]",586
what year did scottie pippen come into the nba?,"[""1987""]",587
where are you if you re in zagreb?,"[""Croatia""]",588
which country has won the cricket world cup the most times?,"[""The Cup""]",589
what city was selena gomez born in?,"[""Grand Prairie""]",590
who does dominic monaghan play in lord of the rings?,"[""Meriadoc Brandybuck""]",591
which country does south africa border 2 the north?,"[""Lesotho"", ""Zimbabwe"", ""Mozambique"", ""Swaziland"", ""Namibia"", ""Botswana""]",592
who sang for pink floyd?,"[""David Gilmour""]",593
who played john connor friend in terminator 2?,"[""Edward Furlong""]",594
what is the current time in nigeria lagos?,"[""Central European Time""]",595
what shows did henry winkler produce?,"[""Mr. Sunshine"", ""Dallas Reunion: The Return to Southfork"", ""MacGyver"", ""So Weird"", ""Dead Man's Gun"", ""WinTuition""]",596
what state was texaco gas founded?,"[""New York"", ""California""]",597
what is the official language of china and 3 other dialects?,"[""Standard Mandarin""]",598
who is the senator of connecticut 2010?,"[""Chris Dodd""]",599
when was the last time the dallas cowboys went to the super bowl?,"[""Super Bowl XXX""]",600
what episode does rukia fade away?,"[""Bleach: Fade to Black""]",601
what is brazil time zone?,"[""UTC−02:00"", ""UTC−04:00"", ""UTC−03:00""]",602
who wrote john 3 16 in the bible?,"[""Gospel of John""]",603
what do people in the czech republic speak?,"[""Czech Language""]",604
where did bruno mars get his start?,"[""Honolulu""]",605
who was tex beneke?,"[""Singer"", ""Musician""]",606
what are all the things thomas edison invented?,"[""Phonograph"", ""Carbon microphone"", ""Mimeograph"", ""Quadruplex telegraph"", ""Electric power distribution"", ""Movie camera"", ""Incandescent light bulb"", ""Phonograph cylinder""]",607
what does albania speak?,"[""Albanian language""]",608
what is shakira's nationality?,"[""Colombia""]",609
where did the sultan of the ottoman empire live?,"[""Constantinople""]",610
who is playing bilbo baggins?,"[""Norman Bird"", ""Martin Freeman"", ""Ian Holm""]",611
what position did george washington serve in the constitutional convention?,"[""Delegate to the Continental Congress""]",612
where is the 2012 ncaa basketball tournament?,"[""NCAA March Madness: Cinderellas, Superstars, and Champions from the NCAA Men's Final Four""]",613
what episode did kate leave ncis?,"[""Kill Ari - Part 1""]",614
where are the seneca indians now?,"[""New York""]",615
what did farrah dad do?,"[""Track and field athlete""]",616
where did matt barnes play?,"[""Small forward""]",617
where does the jordan river begin?,"[""Anti-Lebanon mountains""]",618
what college did lil wayne graduated from?,"[""University of Phoenix""]",619
where did rihanna come from?,"[""Saint Michael Parish"", ""Barbados""]",620
who does kurt busch drive for now?,"[""Miller Lite""]",621
what years did the knicks win the championship?,"[""1970 NBA Finals"", ""1973 NBA Finals""]",622
what is the time zone in uk now?,"[""Greenwich Mean Time"", ""UTC±00:00""]",623
what does dustin diamond do now?,"[""Film Director"", ""Musician"", ""Comedian"", ""Actor""]",624
what state did thomas jefferson live in?,"[""Virginia""]",625
where are google headquarters located?,"[""Mountain View""]",626
who is princess leia?,"[""Star Wars""]",627
what was richard wright known for?,"[""Keyboard player""]",628
where is the nascar hall of fame?,"[""Charlotte"", ""North Carolina""]",629
what do australia call their money?,"[""Australian dollar""]",630
what was the name of wright brothers plane?,"[""Wright Model B"", ""Wright Model C"", ""Wright Flyer"", ""Wright Model EX"", ""1902 Wright Glider"", ""1900 Wright Glider""]",631
where is located university of leeds?,"[""United Kingdom"", ""Leeds""]",632
who is gilbert gottfried snl?,"[""Actor""]",633
what language do they denmark?,"[""Danish Language""]",634
what did martin luther do?,"[""Physician"", ""Theologian"", ""Professor"", ""Writer"", ""Monk"", ""Priest""]",635
what team did grover cleveland alexander play for?,"[""Philadelphia Phillies"", ""Chicago Cubs""]",636
what was eli whitney nationality?,"[""United States of America""]",637
what was christiaan barnard famous for?,"[""Surgeon""]",638
where was dwight d. eisenhower from?,"[""United States of America""]",639
where do audi come from?,"[""Ingolstadt""]",640
what team is chris paul on?,"[""Los Angeles Clippers""]",641
what to do washington dc december?,"[""White House"", ""The Phillips Collection"", ""United States Capitol"", ""Thomas Jefferson Memorial"", ""National Museum of the American Indian"", ""International Spy Museum"", ""National Portrait Gallery"", ""Washington Monument"", ""Lincoln Memorial"", ""Freer Gallery of Art""]",642
what language is spoken in singapore?,"[""Malay Language"", ""Tamil Language"", ""Standard Mandarin"", ""English Language""]",643
who is sanjay gupta married too?,"[""Rebecca Olson Gupta""]",644
what do singapore speak?,"[""Malay Language"", ""Tamil Language"", ""Standard Mandarin"", ""English Language""]",645
what movies did luke perry play in?,"[""Battle Scars: The Bud Moore Story""]",646
who wrote the book of st. john?,"[""John the Evangelist""]",647
who is kobe bryant dad?,"[""Joe Bryant""]",648
what continent does israel belong to?,"[""Asia""]",649
what is the capital city of albania?,"[""Tirana""]",650
where is thomas jefferson's home?,"[""Monticello""]",651
what is wentworth miller in?,"[""Prison Break""]",652
what is the capital of spain in 2010?,"[""Madrid""]",653
who killed harvey milk?,"[""Dan White""]",654
what was the title of the first book dr. seuss wrote?,"[""Fox in Socks""]",655
who owns nissan car manufacturer?,"[""Nissan Motor Manufacturing UK"", ""Jatco"", ""Infiniti"", ""Nissan North America"", ""Nissan Motor Car Carrier""]",656
where is the university of west alabama located?,"[""Alabama"", ""Livingston"", ""United States of America""]",657
what did kenny everett die off?,"[""AIDS""]",658
what main language do they speak in brazil?,"[""Portuguese Language""]",659
where does joey king live?,"[""Las Vegas"", ""Los Angeles""]",660
what happened to justin bieber 2012?,"[""Billboard Music Award for Top Social Artist""]",661
how many australian states and territories?,"[""City of Moreland"", ""Northern Territory"", ""Western Australia"", ""Australian Capital Territory"", ""Victoria"", ""Town of Cottesloe"", ""New South Wales"", ""Queensland"", ""Tasmania"", ""South Australia""]",662
what was manchester united first name?,"[""Newton Heath L&YR F.C.""]",663
who is the governor of hawaii now?,"[""Neil Abercrombie""]",664
when did herbert hoover become president?,"[""3/4/1929""]",665
where did elvis presley started his career?,"[""Memphis""]",666
what happened vince mcmahon?,"[""Professional Wrestling Promoter"", ""Film Director"", ""Television Producer"", ""Announcer"", ""Film Producer"", ""Actor"", ""Wrestler"", ""Sports commentator"", ""Screenwriter""]",667
what jobs did harriet tubman have?,"[""Writer""]",668
where does unesco operate?,"[""Paris""]",669
what does canada grow for food?,"[""Nelson Paddywack IPA"", ""Steam Whistle Pilsner"", ""Molson XXX"", ""Tin Whistle Coyote"", ""Okanagan Spring Brewery Honey Blonde Ale"", ""Labatt Brewing Co. John Labatt Classic Premium Lager"", ""Granville Island Honey Lager"", ""Cannery Blackberry Porter"", ""McAuslan Brewing St. Ambroise Pale Ale"", ""Mt. Begbie Brewing Company High Country Kölsch""]",670
where in the bible does it talk about david?,"[""Psalm 145"", ""Books of Samuel"", ""Books of Chronicles"", ""Psalms""]",671
what does amanda seyfried play in?,"[""Boogie Woogie"", ""Jennifer's Body"", ""Chloe"", ""Dear John"", ""Nine Lives"", ""Solstice"", ""Mamma Mia!"", ""American Gun"", ""Mean Girls"", ""Alpha Dog""]",672
what language do people speak in iran?,"[""Persian""]",673
what is the jurisdiction of the us supreme court?,"[""United States of America""]",674
what voice does hank azaria do on the simpsons?,"[""Carl Carlson"", ""Chief Wiggum"", ""Apu Nahasapeemapetilon""]",675
who is the leader of japan?,"[""Shinzō Abe""]",676
what time zone is the uk in right now?,"[""Greenwich Mean Time"", ""UTC±00:00""]",677
what instrument does bela fleck play?,"[""Banjo""]",678
what position does ray allen?,"[""Shooting guard""]",679
what branch is made up of the house of representatives?,"[""Congress""]",680
where did kurds originate from?,"[""Asia""]",681
where did chancellorsville battle take place?,"[""Spotsylvania County""]",682
what year was the cubs last world series?,"[""1908 World Series""]",683
who is playing hawkeye in the avengers movie?,"[""Jeremy Renner""]",684
what country speak english as native language?,"[""Canada"", ""Australia"", ""Kingdom of Great Britain"", ""United States of America"", ""United Kingdom"", ""Ireland"", ""New Zealand""]",685
who was king or queen after victoria?,"[""Edward VII""]",686
what movie did rihanna play in?,"[""This Is the End"", ""Battleship"", ""Happy Smekday!""]",687
when was the last time the oakland raiders were in the super bowl?,"[""2003 NFL season""]",688
what religion was mary todd lincoln?,"[""Presbyterianism"", ""Baptists"", ""Catholicism""]",689
who is the house of representatives made up of?,"[""Nancy Pelosi""]",690
who all has jason kidd played for?,"[""New York Knicks"", ""Phoenix Suns"", ""Brooklyn Nets"", ""Dallas Mavericks""]",691
where is headquarters of verizon?,"[""New York""]",692
where is the country of cyprus located?,"[""Europe"", ""Mediterranean Sea"", ""Cyprus"", ""Asia"", ""Eurasia""]",693
who invented dell computer?,"[""Michael S. Dell""]",694
where did morgan freeman come from?,"[""Memphis""]",695
where did bob barker grow up?,"[""South Dakota""]",696
what are king charles spaniels?,"[""Dog""]",697
when was the chinese flag designed?,"[""Traditional Chinese characters"", ""Chinese"", ""Simplified Chinese character"", ""'Phags-pa script"", ""Nüshu script"", ""Chinese characters""]",698
where did boston terriers come from?,"[""United States of America""]",699
what makes einstein smart?,"[""Mathematics and Physics""]",700
who played juni in spy kids 4?,"[""Daryl Sabara""]",701
what year did the new york mets start?,"[""1962""]",702
where did neil gaiman grow up?,"[""Menomonie""]",703
what books did aristotle wrote?,"[""Atheniensium respublica"", ""Nicomachean Ethics"", ""Dell'interpretazione"", ""L' anima"", ""Physique"", ""Über die Seele"", ""Les metheores d'Aristote"", ""Aristotelis stagiritae, pepli fragmentum"", ""De anima, in the version of William of Moerbeke"", ""Prior Analytics and Posterior Analytics""]",704
where is eu headquarters located?,"[""Brussels""]",705
who runs the cornelia marie now?,"[""Jake Harris""]",706
where did john muir die?,"[""Los Angeles""]",707
where was selena gomez raised?,"[""Grand Prairie""]",708
what countries are in the andean region?,"[""Brazil"", ""Ecuador"", ""Peru"", ""Colombia""]",709
who created english alphabet?,"[""the Federation of Free States""]",710
when was the last time the san francisco giants won a world series?,"[""2012 World Series""]",711
what airport do you fly into for destin?,"[""Northwest Florida Regional Airport"", ""Destin–Fort Walton Beach Airport""]",712
who played violet's mother in charlie and the chocolate factory?,"[""Kansas City Athletics""]",713
what country was george washington from?,"[""Kingdom of Great Britain""]",714
what year did pete rose play?,"[""1968 Major League Baseball Season"", ""1971 Major League Baseball Season"", ""1969 Major League Baseball Season"", ""1963 Major League Baseball Season"", ""1966 Major League Baseball Season"", ""1967 Major League Baseball Season"", ""1970 Major League Baseball Season"", ""1972 Major League Baseball Season"", ""1964 Major League Baseball Season"", ""1965 Major League Baseball Season""]",715
where does kyla ross live?,"[""Aliso Viejo""]",716
when did allen iverson get drafted?,"[""1996–97 NBA season""]",717
what does jackson browne sing?,"[""Before the Deluge""]",718
who plays ferris bueller's best friend?,"[""Alan Ruck""]",719
what has anna kendrick been in?,"[""Rapturepalooza"", ""Drinking Buddies"", ""Get a Job"", ""End of Watch"", ""50/50"", ""ParaNorman"", ""Scott Pilgrim vs. the World"", ""What to Expect When You're Expecting"", ""The Twilight Saga: Breaking Dawn - Part 2"", ""The Twilight Saga: Breaking Dawn - Part 1""]",720
what are the major imports of the united states?,"[""Pharmaceutical Preparations"", ""Automobile"", ""Petroleum"", ""Clothing"", ""Furniture""]",721
what are the team colors for the pittsburgh steelers?,"[""White"", ""Black"", ""Gold""]",722
what is the current government system in france?,"[""Semi-presidential system"", ""Constitutional republic"", ""Unitary state""]",723
what did roy rogers die of?,"[""Congestive Heart Failure""]",724
what is calabria italy?,"[""Italian region""]",725
what did the new orleans hornets used to be?,"[""Charlotte Hornets""]",726
what are the major religions practiced in israel?,"[""Judaism""]",727
what does jamaica manufacturer?,"[""Desnoes & Geddes Dragon Stout"", ""Red Stripe"", ""Desnoes & Geddes Red Stripe Lager""]",728
what years did andrew jackson run for president?,"[""3/4/1829""]",729
what 4 countries make up great britain?,"[""Principality of Wales"", ""Kingdom of Scotland""]",730
where did madoff live in nyc?,"[""Queens""]",731
how many languages are there in the philippines?,"[""Filipino language"", ""Kapampangan language"", ""Cebuano language"", ""English Language"", ""Ilokano language"", ""Tagalog language"", ""Hiligaynon language"", ""Pangasinan Language"", ""Waray-Waray Language""]",732
what song is monifah famous for?,"[""Touch It""]",733
who did heinrich himmler marry?,"[""Margarete Boden""]",734
who carries sherwin williams paint?,"[""Building Material and Garden Equipment and Supplies Dealers""]",735
who was josh groban in crazy stupid love?,"[""Richard""]",736
where is the columbia university located?,"[""New York""]",737
what team does kris humphries play for in 2011?,"[""Brooklyn Nets""]",738
what did the scientist thomson discover?,"[""Electron"", ""Mass spectrometry""]",739
where did john boehner come from?,"[""Ohio""]",740
where did martin luther king junior go to college?,"[""Morehouse College""]",741
who was carrie underwood in soul surfer?,"[""Sarah Hill""]",742
who plays lois griffin in family guy?,"[""Alex Borstein""]",743
what did julian fellowes write?,"[""Never Mind the Full Stops"", ""Julian Fellowes Investigates: A Most Mysterious Murder"", ""My Son, My Son"", ""Sharpe"", ""Monarch of the Glen"", ""Our Friends in the North""]",744
where does selena gomez live map?,"[""New York City""]",745
who does the islam worship?,"[""Allah""]",746
who was married to lance armstrong?,"[""Kristin Richard""]",747
what is venus named for?,"[""Planet""]",748
who did john fox coach for?,"[""Denver Broncos""]",749
where are the nuclear plants in uk?,"[""Operation Grapple"", ""Operation Hurricane"", ""Operation Totem"", ""British nuclear tests at Maralinga"", ""Operation Buffalo"", ""Operation Mosaic""]",750
what years have the dodgers won the world series?,"[""1988 World Series"", ""1959 World Series"", ""1963 World Series"", ""1965 World Series"", ""1981 World Series""]",751
what did farrah have surgery for?,"[""Anal cancer""]",752
who was the leader of the soviet union in 1945?,"[""Joseph Stalin""]",753
who does john beck play for?,"[""Washington Redskins"", ""Miami Dolphins"", ""Baltimore Ravens"", ""Houston Texans""]",754
what god do catholics believe in?,"[""God""]",755
what movies have kenya moore produced?,"[""Trois"", ""The Confidant"", ""No Turning Back"", ""Senseless"", ""Cloud 9"", ""Waiting to Exhale"", ""I Know Who Killed Me"", ""Hot Parts"", ""Deliver Us from Eva"", ""Brothers in Arms""]",756
where did robbie hummel go to high school?,"[""Valparaiso High School""]",757
what year did the cleveland indians go to the world series?,"[""1948 World Series"", ""1920 World Series""]",758
who owns the cleveland browns?,"[""Randy Lerner""]",759
what language do jewish speak?,"[""Yiddish Language"", ""Judeo-Arabic languages"", ""Karaim Language"", ""Hulaulá Language"", ""Hebrew Language"", ""Catalanic"", ""Judeo-Portuguese"", ""Judeo-Tat"", ""Judeo-Italian Language"", ""Judæo-Persian dialects""]",760
what legal system does germany use?,"[""Federal republic""]",761
who does danneel harris play on one tree hill?,"[""Rachel Gatina""]",762
what inspired michelangelo?,"[""Lorenzo de' Medici"", ""Domenico Ghirlandaio"", ""Giovanni Pico della Mirandola"", ""Girolamo Savonarola"", ""Melozzo da Forlì""]",763
what battle did germany surrender in ww2?,"[""Berlin""]",764
who was the colts coach in 2011?,"[""Jim Caldwell""]",765
what airport is closer to downtown houston?,"[""William P. Hobby Airport""]",766
where does liz mcclarnon live?,"[""England""]",767
what city is fc schalke 04 in?,"[""Gelsenkirchen""]",768
what system of government is used in south korea?,"[""Constitutional republic""]",769
where did giovanni da verrazano come from?,"[""Italy""]",770
what airport is close to daytona beach florida?,"[""Massey Ranch Airpark"", ""Daytona Beach International Airport"", ""Spruce Creek Airport""]",771
what was omar epps first movie?,"[""Juice""]",772
who did the baltimore ravens draft in 2011?,"[""Haloti Ngata"", ""Mark Clayton"", ""Ben Grubbs"", ""Joe Flacco"", ""Terrell Suggs"", ""Kyle Boller"", ""Michael Oher""]",773
who won the governor election in puerto rico?,"[""Luis Fortuño""]",774
where did william shakespeare perform most of his plays?,"[""Globe Theatre, London""]",775
what group is aubrey o'day in?,"[""Danity Kane""]",776
what college did joe namath go to?,"[""University of Alabama""]",777
what wild animals live in colorado?,"[""Lark Bunting""]",778
where is eu parliament?,"[""Brussels""]",779
when does summer start in new england?,"[""Waltham""]",780
who invented arabic alphabet?,"[""Saudi Arabia""]",781
where was president lyndon johnson from?,"[""Austin""]",782
what did wagner compose?,"[""Die Feen"", ""Rienzi, der Letzte der Tribunen"", ""Tannhäuser"", ""Das Rheingold"", ""Götterdämmerung"", ""Tristan und Isolde"", ""Die Walküre"", ""Der Ring des Nibelungen"", ""Der fliegende Holländer"", ""Siegfried""]",783
what language did jewish people speak?,"[""Hebrew Language""]",784
who does michael oher play for in 2009?,"[""Baltimore Ravens""]",785
what years did barry bonds play?,"[""2001 Major League Baseball Season"", ""1990 Major League Baseball Season"", ""1996 Major League Baseball Season"", ""1993 Major League Baseball Season"", ""1992 Major League Baseball Season"", ""2002 Major League Baseball Season"", ""2003 Major League Baseball season"", ""2004 Major League Baseball season"", ""1998 Major League Baseball Season""]",786
who played emma frost?,"[""Finola Hughes"", ""Tahyna Tozzi"", ""January Jones""]",787
what does the mayan calendar say about 2012?,"[""The End Of Time""]",788
what clubs has peter crouch played for?,"[""Portsmouth F.C."", ""Queens Park Rangers F.C."", ""Liverpool F.C."", ""Tottenham Hotspur F.C."", ""Southampton F.C."", ""Aston Villa F.C."", ""Stoke City F.C.""]",789
who plays the brother in hannah montana?,"[""Jason Earles""]",790
what team does lamar odom play for 2011?,"[""Los Angeles Clippers""]",791
what highschool did tom brady go to?,"[""Junípero Serra High School""]",792
who owns skywest?,"[""AirTran Airways"", ""SkyWest, Inc.""]",793
who did michael jordan marry?,"[""Yvette Prieto""]",794
where is the syracuse university?,"[""New York"", ""United States of America"", ""Syracuse""]",795
what has mario lopez been in?,"[""Holiday in Handcuffs"", ""Aloha, Scooby-Doo!"", ""Saved by the Bell: Hawaiian Style"", ""King Rikki"", ""Husband for Hire"", ""Colors"", ""The Dog Who Saved Christmas"", ""Big Brother Trouble"", ""A Crack in the Floor"", ""Fever Lake""]",796
where do logan browning live?,"[""Atlanta""]",797
when did mcdonalds officially open?,"[""5/15/1940""]",798
what team does terrell owens play for this year?,"[""Cincinnati Bengals""]",799
what to do with kids in halifax?,"[""Discovery Centre""]",800
where is lake waynoka ohio?,"[""United States of America"", ""Brown County""]",801
who did jeremy lin sign with?,"[""Houston Rockets"", ""New York Knicks""]",802
who will sponsor kevin harvick in 2011?,"[""Royal Dutch Shell"", ""Pennzoil-Quaker State""]",803
where adidas originate?,"[""Germany""]",804
who played emperor palpatine?,"[""Ron Prather"", ""Ian Abercrombie"", ""Ian McDiarmid""]",805
what is 2pm est in philippines?,"[""UTC+8""]",806
where are the pyramids of giza located?,"[""Egypt""]",807
when does sally pearson race tonight?,"[""Track and field athletics""]",808
who were demeter's brothers and sisters?,"[""Zeus""]",809
what instrument was louis armstrong famous for?,"[""trumpet""]",810
what date did the san francisco giants win the world series?,"[""2010 World Series"", ""2012 World Series""]",811
what province is canada's capital located in?,"[""Ontario""]",812
on which continent is the usa located?,"[""North America""]",813
where is singapore on a world map?,"[""Eurasia"", ""Southeast Asia"", ""Asia""]",814
what to see in london in june 2012?,"[""Regent's Park"", ""Tower of London"", ""Buckingham Palace"", ""Palace of Westminster"", ""London Eye"", ""Tower Bridge"", ""Hyde Park"", ""Westminster Abbey"", ""St Paul's Cathedral"", ""Trafalgar Square""]",815
what is the main language of israel?,"[""Hebrew Language"", ""Arabic Language""]",816
what college did kerry collins?,"[""Pennsylvania State University""]",817
what did bob ross die of?,"[""Lymphoma""]",818
who was king hussein?,"[""President of Iraq""]",819
where did martin luther live in?,"[""Saxony-Anhalt""]",820
where is made kia car?,"[""Seoul""]",821
what are all the songs nicki minaj is in?,"[""Roman Reloaded"", ""Monster"", ""What's Wrong With Them (feat. Nicki Minaj)"", ""Dark Fantasy"", ""YM Salute"", ""Fire Burns"", ""Letting Go (Dutty Love)"", ""Woohoo (feat. Nicki Minaj)"", ""Raining Men"", ""Champion""]",822
what groups was hitler involved in?,"[""German Workers' Party"", ""Nazi Party""]",823
what college did magic johnson go to?,"[""Michigan State University""]",824
what kind of language do they speak in greece?,"[""Albanian language"", ""Greek Language""]",825
what to see in chicago downtown?,"[""Lincoln Park Zoo"", ""DuSable Museum of African American History"", ""Wrigley Field"", ""Willis Tower"", ""Polish Museum of America"", ""Gilmore Car Museum"", ""National Museum of Mexican Art"", ""Shedd Aquarium"", ""John Hancock Center"", ""Field Museum of Natural History""]",826
what kind of money does the philippines use?,"[""Philippine peso""]",827
what did george eastman make?,"[""Roll film""]",828
what movies has billy burke been in?,"[""New Moon"", ""Feast of Love"", ""Without Limits"", ""Dill Scallion"", ""Fracture"", ""Komodo"", ""Ladder 49"", ""Don't Look Down"", ""Untraceable"", ""Mafia!""]",829
who was rudolf virchow?,"[""Physician"", ""Scientist"", ""Politician"", ""Pathologist""]",830
who were ulysses s grant and robert e lee?,"[""General-in-Chief"", ""Commander""]",831
what is the last movie brittany murphy made?,"[""8 Mile""]",832
with which countries does south africa trade?,"[""Tanzania"", ""Angola""]",833
what kind of language do they speak in china?,"[""Standard Mandarin""]",834
what office does hillary clinton hold?,"[""United States Secretary of State""]",835
where does portuguese language come from?,"[""Latin alphabet""]",836
what are the major religions in uk?,"[""Judaism"", ""Catholicism"", ""Presbyterianism"", ""Sikhism"", ""Methodism"", ""Church of England"", ""Hinduism"", ""Islam""]",837
where did jennifer hudson go to school?,"[""Dunbar Vocational High School"", ""Langston University""]",838
what type of guitar does john mayer play?,"[""Fender Stratocaster""]",839
when did toronto blue jays become a team?,"[""1977 Major League Baseball Season""]",840
what is the zip code for moorpark ca?,"[""93021"", ""93020""]",841
what continent is the usa located in?,"[""North America""]",842
what is the currency of spain called?,"[""Euro""]",843
which country is to the north of the united states of america?,"[""Canada""]",844
what 3 states border the pacific ocean?,"[""California""]",845
what did mozart do to become famous?,"[""Composer""]",846
where was avril lavigne born?,"[""Belleville""]",847
what are the 3 official languages of spain?,"[""Spanish Language""]",848
what type of government does australia currently have?,"[""Parliamentary system"", ""Federation"", ""Constitutional monarchy""]",849
which countries do germany border?,"[""Netherlands"", ""Czech Republic"", ""Salzburg"", ""Denmark"", ""Poland"", ""Luxembourg"", ""France"", ""Belgium"", ""Austria"", ""Switzerland""]",850
what county is tampa located in?,"[""Hillsborough County""]",851
who has coached the minnesota vikings?,"[""Harrison Smith"", ""Devin Aromashodu"", ""Chris Kluwe"", ""Joe Webb"", ""Christian Ponder"", ""Josh Robinson"", ""Jarius Wright"", ""McLeod Bethel-Thompson"", ""Blair Walsh"", ""Stephen Burton""]",852
what movies have queen latifah played in?,"[""Taxi"", ""Jungle Fever"", ""Set It Off"", ""Stranger than Fiction"", ""Last Holiday"", ""Brown Sugar"", ""Ice Age: The Meltdown"", ""Ice Age: Dawn of the Dinosaurs"", ""Hairspray"", ""Bringing Down the House""]",853
what is the short name for stephanie?,"[""Stepha""]",854
where are they now jessica mcclure?,"[""Midland""]",855
what year did tim duncan enter the nba?,"[""1997–98 NBA season""]",856
who played alf on the tv show?,"[""Paul Fusco""]",857
who was the vice president when bill clinton was in office?,"[""Al Gore""]",858
which countries does south africa export to?,"[""Tanzania"", ""Angola""]",859
what to do in downtown waukesha?,"[""Waukesha County Museum"", ""University of Wisconsin-Waukesha"", ""Nice Ash"", ""Boscos Social Club"", ""Margaret Brate Bryant Civic Theatre Building"", ""Carroll University"", ""The Academy Waukesha"", ""Buddha Haksa Temple""]",860
what other cars does gm make?,"[""Hummer"", ""Pontiac"", ""Chevrolet"", ""Buick"", ""Oldsmobile"", ""Cadillac""]",861
who did george lucas get engaged to?,"[""Mellody Hobson""]",862
what movies does leo howard play in?,"[""Logan"", ""G.I. Joe: The Rise of Cobra"", ""Aussie & Ted's Great Adventure"", ""Conan the Barbarian"", ""Shorts""]",863
what instruments does john williams use?,"[""Trombone"", ""Piano"", ""trumpet"", ""clarinet""]",864
who does messi play with?,"[""FC Barcelona""]",865
what is the language spoken in brazil?,"[""Brazilian Portuguese""]",866
who was johnny cash's first wife?,"[""Vivian Liberto""]",867
where do tasmanian devils live?,"[""In Tasmania""]",868
what a city in montana?,"[""Helena""]",869
what timezone is toronto canada?,"[""North American Eastern Time Zone""]",870
what was the milwaukee brewers old name?,"[""Seattle Pilots""]",871
what type of political system does russia have?,"[""Constitutional republic""]",872
what is the political system in egypt?,"[""Semi-presidential system"", ""Constitutional republic"", ""Republic"", ""Unitary state""]",873
what airport is in kauai hawaii?,"[""Lihue Airport""]",874
what is kevin durant play style?,"[""Small forward""]",875
where are vw cc made?,"[""Germany""]",876
what team chris paul play for?,"[""Los Angeles Clippers""]",877
what currency should i take to jamaica?,"[""Jamaican dollar""]",878
what is illinois state bird?,"[""Northern Cardinal""]",879
what places can you visit in france?,"[""Champagne-Ardenne"", ""Lower Normandy"", ""Brittany"", ""Burgundy"", ""Aquitaine"", ""Auvergne"", ""Alsace"", ""Franche-Comté"", ""Centre region, France"", ""Corsica""]",880
what did richard nixon do for a living before he became president?,"[""Politician""]",881
what three continents touch the atlantic ocean?,"[""Canada"", ""Europe"", ""Western Sahara"", ""United States of America"", ""France"", ""Sierra Leone"", ""Ireland"", ""Guyana"", ""Nicaragua"", ""Maine""]",882
what language do u speak in egypt?,"[""Modern Standard Arabic""]",883
what teams has lionel messi played for?,"[""Argentina national football team"", ""FC Barcelona"", ""FC Barcelona C"", ""FC Barcelona B""]",884
what countries in north america continent?,"[""Navassa Island"", ""Greenland"", ""Honduras"", ""El Salvador"", ""Saint Pierre and Miquelon"", ""Jan Mayen"", ""Guatemala"", ""Aruba"", ""Clipperton Island"", ""Belize""]",885
what time zone is colorado springs co?,"[""Mountain Time Zone""]",886
what school did sergio romo go to?,"[""University of North Alabama""]",887
who did adam sandler married?,"[""Jackie Sandler""]",888
when did the name jehovah first appear?,"[""Jehovah's Witnesses""]",889
who play luke skywalker?,"[""Mark Hamill""]",890
what is the best island to visit in greece?,"[""Ionian Islands""]",891
where did john howard live?,"[""Sydney""]",892
what music did beethoven composed?,"[""Opera"", ""Classical music""]",893
what does the name rome mean?,"[""Romulus and Remus""]",894
what inspired scott fitzgerald?,"[""Oswald Spengler"", ""Sara Murphy"", ""R. D. Blackmore"", ""Edith Wharton"", ""Shane Leslie"", ""Sherwood Anderson"", ""John Keats""]",895
what did george steinbrenner do?,"[""Entrepreneur"", ""Theatrical producer"", ""Businessperson"", ""Investor""]",896
who was hadrian and what did he do?,"[""Hadrian's Wall""]",897
what influenced langston hughes to write?,"[""Walt Whitman""]",898
where did pablo picasso die?,"[""Mougins""]",899
what to do in seattle during the summer?,"[""Woodland Park Zoo"", ""Henry Art Gallery"", ""Seattle Art Museum"", ""Seattle Aquarium"", ""Frye Art Museum"", ""Space Needle"", ""Pike Place Market"", ""Smith Tower"", ""Tillicum Village"", ""Museum of Flight""]",900
where did henry hudson travel?,"[""Hudson Bay""]",901
who was judy collins married to?,"[""Peter Taylor"", ""Louis Nelson""]",902
when was the last time the toronto maple leafs make the playoffs?,"[""1967 Stanley Cup Finals""]",903
what do they speak in cambodia?,"[""French Language"", ""Cambodian French"", ""Khmer language""]",904
